emp_id|lname|fname|minit|job_id|job_lvl|pub_id|hire_date
PMA42628M|Accorti|Paolo|M|13|35|0877|08/27/92
PSA89086M|Afonso|Pedro|S|14|89|1389|12/24/90
VPA30890F|Ashworth|Victoria|P|6|140|0877|09/13/90
H-B39728F|Bennett|Helen||12|35|0877|09/21/89
L-B31947F|Brown|Lesley||7|120|0877|02/13/91
F-C16315M|Chang|Francisco||4|227|9952|11/03/90
PTC11962M|Cramer|Philip|T|2|215|9952|11/11/89
A-C71970F|Cruz|Aria||10|87|1389|10/26/91
AMD15433F|Devon|Ann|M|3|200|9952|07/16/91
ARD36773F|Domingues|Anabela|R|8|100|0877|01/27/93
PHF38899M|Franken|Peter|H|10|75|0877|05/17/92
PXH22250M|Henriot|Paul|X|5|159|0877|08/19/93
CFH28514M|Hernadez|Carlos|F|5|211|9999|04/21/89
PDI47470M|Ibsen|Palle|D|7|195|0736|05/09/93
KJJ92907F|Jablonski|Karla|J|9|170|9999|03/11/94
KFJ64308F|Josephs|Karin|F|14|100|0736|10/17/92
MGK44605M|Karttunen|Matti|G|6|220|0736|05/01/94
POK93028M|Koskitalo|Pirkko|O|10|80|9999|11/29/93
JYL26161F|Labrune|Janine|Y|5|172|9901|05/26/91
M-L67958F|Larsson|Maria||7|135|1389|03/27/92
Y-L77953M|Latimer|Yoshi||12|32|1389|06/11/89
LAL21447M|Lebihan|Laurence|A|5|175|0736|06/03/90
ENL44273F|Lincoln|Elizabeth|N|14|35|0877|07/24/90
PCM98509F|McKenna|Patricia|C|11|150|9999|08/01/89
R-M53550M|Mendel|Roland||11|150|0736|09/05/91
RBM23061F|Muller|Rita|B|5|198|1622|10/09/93
HAN90777M|Nagy|Helvetius|A|7|120|9999|03/19/93
TPO55093M|O'Rourke|Timothy|P|13|100|0736|06/19/88
SKO22412M|Ottlieb|Sven|K|5|150|1389|04/05/91
MAP77183M|Paolino|Miguel|A|11|112|1389|12/07/92
PSP68661F|Parente|Paula|S|8|125|1389|01/19/94
M-P91209M|Pereira|Manuel||8|101|9999|01/09/89
MJP25939M|Pontes|Maria|J|5|246|1756|03/01/89
M-R38834F|Rance|Martine||9|75|0877|02/05/92
DWR65030M|Roel|Diego|W|6|192|1389|12/16/91
A-R89858F|Roulet|Annette||6|152|9999|02/21/90
MMS49649F|Saveley|Mary|M|8|175|0736|06/29/93
CGS88322F|Schmitt|Carine|G|13|64|1389|07/07/92
MAS70474F|Smith|Margaret|A|9|78|1389|09/29/88
HAS54740M|Snyder|Howard|A|12|100|0736|11/19/88
MFS52347M|Sommer|Martin|F|10|165|0736|04/13/90
GHT50241M|Thomas|Gary|H|9|170|0736|08/09/88
DBT39435M|Tonini|Daniel|B|11|75|0877|01/01/90
